UUID,Date,Timestamp
U_c49122a0-be57-413d-931f-f69c52f566bd,08/06/2023,13:01:01
U_c49122a0-be57-413d-931f-f69c52f566bd,08/06/2023,16:59:56
Unknown,08/06/2023,16:59:56
U_8286e9d1-b77c-450f-aa75-725578682f86,08/06/2023,16:59:56
Unknown,08/06/2023,16:59:56
U_8286e9d1-b77c-450f-aa75-725578682f86,08/06/2023,16:59:56
