UUID,Date,Timestamp
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
Unknown,07/06/2023,13:31:09
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,13:35:44,"{'Woman': 0.5873078480362892, 'Man': 99.41269159317017}",30
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:35:44,Unknown,Unknown
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,13:37:25,Man,27
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:37:25,Unknown,Unknown
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,13:37:25,Unknown,Unknown
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,13:40:47,Unknown,Unknown
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,13:40:47,Unknown,Unknown
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
U_9c8665d0-bfe1-4ab0-aab1-3fff0874f9f3,07/06/2023,14:52:38
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
U_3135ae57-1901-435d-ac56-032ed40a24e6,07/06/2023,14:52:38
Unknown,07/06/2023,14:54:24
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,14:54:24
Unknown,07/06/2023,14:54:24
Unknown,07/06/2023,14:54:24
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,14:54:24
Unknown,07/06/2023,14:54:24
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,14:56:00
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,15:27:06
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,15:27:06
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:43:59
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:48:20
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:50:17
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:50:17
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:50:17
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:50:17
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,16:50:17
U_c49122a0-be57-413d-931f-f69c52f566bd,07/06/2023,17:13:12
